Key,en,es,ar
Dashboard,Dashboard,Panel,لوحة القيادة
Language,Language,Idioma,لغة
Information,Information,Información,معلومة
Language Information,Language Information,Información del idioma,معلومات اللغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Idioma creado correctamente,Idioma creado correctamente,Idioma Creado Correctamento,Idioma Creado الصحيح
Join us in shaping the future of technology,Join us in shaping the future of technology,Únase a nosotros para dar forma al futuro de la tecnología,انضم إلينا في تشكيل مستقبل التكنولوجيا
Enter your email:,Enter your email:,Introduce tu correo electrónico:,أدخل بريدك الإلكتروني:
DOWNLOAD APPS,DOWNLOAD APPS,Descargar aplicaciones,تنزيل التطبيقات
USEFULL LINKS,USEFULL LINKS,Enlaces útiles,روابط مفيدة
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية
Terms & Condition,Terms & Condition,Términos y Condiciones,الشروط والشرط
Refund Policy,Refund Policy,Politica de reembolso,سياسة الاسترجاع
CONTACT US,CONTACT US,CONTÁCTENOS,اتصل بنا
Copyright ©2023. All Rights Reserved by,Copyright ©2023. All Rights Reserved by,Copyright © 2023. Todos los derechos reservados por,حقوق الطبع والنشر © 2023. جميع الحقوق محفوظة من قبل
Topbar Color,Topbar Color,Color topbar,لون الشريط
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي
Settings,Settings,Ajustes,إعدادات
English,English,Inglés,إنجليزي
API Key,API Key,Clave API,مفتاح API
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة
All Logs,All Logs,Todos los registros,جميع السجلات
Subscriptions,Subscriptions,Suscripciones,الاشتراكات
TRANSACTIONS & LOGS,TRANSACTIONS & LOGS,Transacciones y registros,المعاملات والسجلات
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
Panel,Panel,Panel,لوحة
Transactions log,Transactions log,Registro de transacciones,سجل المعاملات
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة
INTERFACE PANEL,INTERFACE PANEL,Panel de interfaz,لوحة واجهة
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
App Version,App Version,Version de aplicacion,نسخة التطبيق
Life is all about AI,Life is all about AI,La vida se trata de AI,الحياة هي كل شيء عن الذكاء الاصطناعي
Join us in shaping the future of,Join us in shaping the future of,Únase a nosotros para dar forma al futuro de,انضم إلينا في تشكيل مستقبل
TECHNOLOGY,TECHNOLOGY,TECNOLOGÍA,تكنولوجيا
Sign In,Sign In,Iniciar sesión,تسجيل الدخول
Sign Up,Sign Up,Inscribirse,اشتراك
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
Sign In with,Sign In with,Inicia sesión con,تسجيل الدخول ب
Continue as a guest,Continue as a guest,Continuar como invitado,تواصل كضيف
EN,EN,Interno,en
or,or,o,أو
Hours 24,24 Hours,24 horas,24 ساعة
Please Enter Your Registered E-mail for Reset Password,Please Enter Your Registered E-mail for Reset Password,Ingrese su correo electrónico registrado para restablecer la contraseña,الرجاء إدخال بريدك الإلكتروني المسجل لإعادة تعيين كلمة المرور
Enter the OTP sent to,Enter the OTP sent to,Ingrese el OTP enviado a,أدخل OTP المرسلة إلى
Resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز
Submit,Submit,Entregar,يُقدِّم
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور
Reset your password to sign in again.,Reset your password to sign in again.,Restablezca su contraseña para iniciar sesión nuevamente.,أعد تعيين كلمة المرور الخاصة بك لتسجيل الدخول مرة أخرى.
Congratulations,Congratulations,Felicidades,تهانينا
"Your password has been reset Successfully, Sign in again now.","Your password has been reset Successfully, Sign in again now.","Su contraseña se ha restablecido correctamente, inicie sesión nuevamente ahora.",تمت إعادة تعيين كلمة المرور الخاصة بك بنجاح ، وقم بتسجيل الدخول مرة أخرى الآن.
Okay,Okay,Bueno,تمام
Please fill out the field,Please fill out the field,Por favor complete el campo,يرجى ملء الحقل
Your account has been create Successfully. Welcome to AdBot Pro.,Your account has been create Successfully. Welcome to AdBot Pro.,Su cuenta ha sido creada con éxito. Bienvenido a Adbot Pro.,تم إنشاء حسابك بنجاح. مرحبًا بك في Adbot Pro.
Chat With AdBot Pro.,Chat With AdBot Pro.,Chatear con Adbot Pro.,الدردشة مع Adbot Pro.
