Key,en,es,ar,fr
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord
Language,Language,Idioma,لغة,Langue
Information,Information,Información,معلومة,Information
Language Information,Language Information,Información del idioma,معلومات اللغة,Informations linguistiques
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langues
Idioma creado correctamente,Idioma creado correctamente,Idioma Creado Correctamento,Idioma Creado الصحيح,Idioma créé correctement
Enter your email:,Enter your email:,Introduce tu correo electrónico:,أدخل بريدك الإلكتروني:,Entrer votre Email:
DOWNLOAD APPS,DOWNLOAD APPS,Descargar aplicaciones,تنزيل التطبيقات,TÉLÉCHARGER LES APPLICATIONS
USEFULL LINKS,USEFULL LINKS,Enlaces útiles,روابط مفيدة,LIENS UTILES
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية,Politique de confidentialité
Terms & Condition,Terms & Condition,Términos y Condiciones,الشروط والشرط,Termes et conditions
Refund Policy,Refund Policy,Politica de reembolso,سياسة الاسترجاع,Politique de remboursement
CONTACT US,CONTACT US,CONTÁCTENOS,اتصل بنا,CONTACTEZ-NOUS
Copyright ©2023. All Rights Reserved by,Copyright ©2023. All Rights Reserved by,Copyright © 2023. Todos los derechos reservados por,حقوق الطبع والنشر © 2023. جميع الحقوق محفوظة من قبل,Droits d'auteur ©2023. Tous droits réservés par
Topbar Color,Topbar Color,Color topbar,لون الشريط,Couleur de la barre supérieure
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale
Settings,Settings,Ajustes,إعدادات,Paramètres
English,English,Inglés,إنجليزي,Anglais
API Key,API Key,Clave API,مفتاح API,clé API
Canceled Logs,Canceled Logs,Registros cancelados,سجلات ملغاة,Journaux annulés
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux
Subscriptions,Subscriptions,Suscripciones,الاشتراكات,Abonnements
TRANSACTIONS & LOGS,TRANSACTIONS & LOGS,Transacciones y registros,المعاملات والسجلات,TRANSACTIONS ET JOURNAUX
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة,Devise de configuration
Panel,Panel,Panel,لوحة,Panneau
Transactions log,Transactions log,Registro de transacciones,سجل المعاملات,Journal des transactions
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة,Journaux en attente
Completed Logs,Completed Logs,Registros completados,سجلات مكتملة,Journaux terminés
INTERFACE PANEL,INTERFACE PANEL,Panel de interfaz,لوحة واجهة,PANNEAU D'INTERFACE
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم,Entretien utilisateur
Active Users,Active Users,Usuarios activos,المستخدمين النشطين,Utilisateurs actifs
App Version,App Version,Version de aplicacion,نسخة التطبيق,Version de l'application
Life is all about AI,Life is all about AI,La vida se trata de AI,الحياة هي كل شيء عن الذكاء الاصطناعي,La vie est avant tout une question d'IA
Join us in shaping the future of,Join us in shaping the future of,Únase a nosotros para dar forma al futuro de,انضم إلينا في تشكيل مستقبل,Rejoignez-nous pour façonner l'avenir de
TECHNOLOGY,TECHNOLOGY,TECNOLOGÍA,تكنولوجيا,TECHNOLOGIE
Sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter
Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su tablero.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك للوصول إلى لوحة القيادة الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse e-mail
Sign In with,Sign In with,Inicia sesión con,تسجيل الدخول ب,Se connecter avec
Continue as a guest,Continue as a guest,Continuar como invitado,تواصل كضيف,Continuer en tant qu'invité
EN,EN,Interno,en,EN
Or,Or,o,أو,ou
Hours 24,24 Hours,24 horas,24 ساعة,Heures 24
Please Enter Your Registered E-mail for Reset Password,Please Enter Your Registered E-mail for Reset Password,Ingrese su correo electrónico registrado para restablecer la contraseña,الرجاء إدخال بريدك الإلكتروني المسجل لإعادة تعيين كلمة المرور,Veuillez saisir votre adresse e-mail enregistrée pour réinitialiser le mot de passe
Enter the OTP sent to,Enter the OTP sent to,Ingrese el OTP enviado a,أدخل OTP المرسلة إلى,Entrez l'OTP envoyé à
Resend Code,Resend Code,Reenviar codigo,أعد إرسال الرمز,Renvoyer le code
Submit,Submit,Entregar,يُقدِّم,Soumettre
Reset Password,Reset Password,Restablecer la contraseña,إعادة تعيين كلمة المرور,réinitialiser le mot de passe
Reset your password to sign in again.,Reset your password to sign in again.,Restablezca su contraseña para iniciar sesión nuevamente.,أعد تعيين كلمة المرور الخاصة بك لتسجيل الدخول مرة أخرى.,Réinitialisez votre mot de passe pour vous reconnecter.
Congratulations,Congratulations,Felicidades,تهانينا,Toutes nos félicitations
